_id,0_OCLCCN,01_isbn,02_isbn_pubname,03_isbn_countryname,10_title,11_statement_of_responsibility,12_publisher_place,13_publisher_name,14_publication_date,15_content_code,16_content_type_term,17_content_source,18_media_code,19_media_type_term,1_leader_type,20_media_source,21_carrier_code,22_topical_term,23_form_subdivision,24_heading_source,25_authority_record_control_num,26_geographical_subdivision,27_geo_name,28_geo_source_of_headingwterm,29_geo_arn,2_physical_desc,31_host_item,32_series_title,33_series_volume,34_form_data,35_source_of_term,36_index_arn,3_place,4_language,5_catalogue_source,6_lccn,8_personal_name,9_relation,cluster_name,cluster_number,cluster_name_connaway,cluster_num_connaway,
1,903199052,0,Blanks,Blanks,Letra de cambio en moneda extranjera /,Adriana M. Zavatti de Rougier.,Co?rdoba :,"Lerner Editora SRL,",2011,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Estudios de jurisprudencia : temas de Derecho internacional privado,Blanks,Blanks,Blanks,Blanks,Blanks,sp,sp,d,0,"Zavatti de Rougier, Adriana M.",aut,Lerner,1,Other,0,
2,903199412,0,Blanks,Blanks,Arbitraje comercial internacional /,Christian G. Sommer.,Co?rdoba :,"Lerner Editora SRL,",2011,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Estudios de jurisprudencia : temas de Derecho internacional privado,Blanks,Blanks,Blanks,Blanks,Blanks,sp,sp,d,0,"Sommer, Christian G.",aut,Lerner,1,Other,0,
3,257177807,0,Blanks,Blanks,La Iglesia bajo el regalismo de los Borbones :,"Juan Manuel Pacheco, S.J.",Bogota? :,"Lerner,",1986,txt,Text,rdacontent/ger,n,ohne Hilfsmittel zu benutzen,a,rdamedia/ger,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Historia extensa de Colombia ;,vol. 13.,Blanks,Blanks,Blanks,ck,un,d,0,"Pacheco, Juan Manuel.",Blanks,Lerner,1,Lerner,1,
4,161503,822505924,Lerner Publications,English,Dating.,Illustrated by Patricia Bateman.,"Minneapolis,",Lerner Publications Co.,[1971],txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Dating (Social customs),Juvenile literature.,fast,(OCoLC)fst00888094,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,79104893,"Lipke, Jean Coryllel.",Blanks,Lerner,1,Lerner,1,
5,26014,0,Blanks,Blanks,Pleading and practice in courts of common law.,Blanks,"Washington,","Lerner Law Book Co.,",1969,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Pleading.,Blanks,fast,(OCoLC)fst01067066,Maryland.,Maryland.,fast,(OCoLC)fst01204739,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,dc,en,Blanks,71007069,"Poe, John Prentiss,",Blanks,Lerner,1,Lerner,1,
6,308493,822505630,Lerner Publications,English,Wild animals of Africa /,photos and text by Klaus Paysan ; sketches by Angela Paysan ; English translation by Jane Owen.,Minneapolis :,"Lerner Publications Company,","1971, ©1968.",txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Animals,Blanks,sears,(OCoLC)fst01184696,Africa.,Africa.,fast,(OCoLC)fst01239509,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,mn,en,Blanks,70102894,"Paysan, Klaus,",Blanks,Lerner,1,Lerner,1,
7,583919,822504014,Lerner Publications,English,Motorcycle racing.,Blanks,"Minneapolis,",Lerner Publications,[1973],txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Motorcycle racing.,Juvenile literature.,fast,(OCoLC)fst01028038,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,72005421,"Puleo, Nicole.",Blanks,Lerner,1,Lerner,1,
8,11235822,822507714,Lerner Publications,English,Star without a sky /,Leonie Ossowski ; translation by Ruth Crowley.,Minneapolis :,"Lerner Pub. Co.,",©1985.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Jews.,Fiction.,fast,(OCoLC)fst00983135,Germany,Germany.,fast,(OCoLC)fst01210272,Blanks,Blanks,Blanks,Blanks,Historical fiction.,gsafd,(OCoLC)fst01411637,mn,en,Blanks,84021834,"Ossowski, Leonie,",Blanks,Lerner,1,Lerner,1,
9,12311852,0,Blanks,Blanks,Delitos aduaneros :,"Jose? Licinio Scelzi, Marcelo Antonio Gottifredi, Horacio Fe?lix Alais ; [pro?logo, Carlos A. Ferro].",Buenos Aires :,"Lerner Editores,",1983,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Tariff,Blanks,fast,(OCoLC)fst01143168,Argentina,Argentina.,fast,(OCoLC)fst01205614,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,ag,sp,Blanks,84137170,"Scelzi, Jose? Licinio.",Blanks,Lerner,1,Lerner,1,
10,126230179,822586622,Lerner Publications,English,India /,Tom Streissguth.,"Minneapolis, MN :","Lerner Publications Co.,",©2008.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,India.,fast,(OCoLC)fst01210276,Blanks,Blanks,Country explorers.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2007019772,"Streissguth, Thomas,",Blanks,Lerner,1,Lerner,1,
